endpoint,endpoint_id,scorer,auroc,auprc,auroc_ci_lo,auroc_ci_hi,n_pos,n_eval
E3-C out-of-evidence druggability,E3-C,Harmonic mean,0.935705,0.872543,0.930746,0.940476,5188,20751
E3-C out-of-evidence druggability,E3-C,Logistic regression,1.0,1.0,1.0,1.0,5188,20751
E3-C out-of-evidence druggability,E3-C,Elastic net,1.0,1.0,1.0,1.0,5188,20751
E3-C out-of-evidence druggability,E3-C,Random forest,1.0,1.0,1.0,1.0,5188,20751
E4 CRC zero-shot transfer,E4,Mutation frequency,0.497123,0.218465,0.488413,0.505209,4608,20751
E4 CRC zero-shot transfer,E4,Genetic constraint,0.530262,0.223684,0.521834,0.538651,4608,20751
E4 CRC zero-shot transfer,E4,Cancer-driver annotation,0.507475,0.227189,0.505095,0.509744,4608,20751
E4 CRC zero-shot transfer,E4,Druggability,0.506429,0.231753,0.499143,0.51355,4608,20751
E4 CRC zero-shot transfer,E4,STRING centrality,0.701845,0.407527,0.693263,0.710269,4608,20751
E4 CRC zero-shot transfer,E4,Arithmetic mean,0.580219,0.254284,0.57179,0.58895,4608,20751
E4 CRC zero-shot transfer,E4,Rank aggregation,0.53403,0.242239,0.524418,0.543205,4608,20751
E4 CRC zero-shot transfer,E4,Weighted rank aggregation,0.638046,0.315992,0.628974,0.646491,4608,20751
E4 CRC zero-shot transfer,E4,ECS (multiplicative),0.415083,0.179966,0.406207,0.424427,4608,20751
E4 CRC zero-shot transfer,E4,Harmonic mean,0.576047,0.2555,0.567573,0.584743,4608,20751
E4 CRC zero-shot transfer,E4,Logistic regression,0.682769,0.344198,0.674498,0.690759,4608,20751
E4 CRC zero-shot transfer,E4,Elastic net,0.674735,0.331759,0.666578,0.682734,4608,20751
E4 CRC zero-shot transfer,E4,Random forest,0.756311,0.498504,0.748437,0.763764,4608,20751
E5 historical clinical-target concordance,E5,Mutation frequency,0.702176,0.115025,0.615301,0.784961,35,20751
E5 historical clinical-target concordance,E5,Genetic constraint,0.388782,0.00128,0.345272,0.433113,35,20751
E5 historical clinical-target concordance,E5,Cancer-driver annotation,0.737354,0.03457,0.650427,0.819289,35,20751
E5 historical clinical-target concordance,E5,Druggability,0.80825,0.008228,0.726653,0.881563,35,20751
E5 historical clinical-target concordance,E5,STRING centrality,0.98614,0.135467,0.980819,0.991036,35,20751
E5 historical clinical-target concordance,E5,Arithmetic mean,0.894308,0.136708,0.831328,0.946427,35,20751
E5 historical clinical-target concordance,E5,Rank aggregation,0.8539,0.017595,0.783748,0.91199,35,20751
E5 historical clinical-target concordance,E5,Weighted rank aggregation,0.956341,0.23439,0.920758,0.984165,35,20751
E5 historical clinical-target concordance,E5,ECS (multiplicative),0.824512,0.008979,0.738069,0.894092,35,20751
E5 historical clinical-target concordance,E5,Harmonic mean,0.941176,0.206837,0.897644,0.974967,35,20751
E5 historical clinical-target concordance,E5,Logistic regression,0.982299,0.290605,0.968144,0.993371,35,20751
