endpoint,method,auroc,ci_lo,ci_hi,auprc,n_positives,mwu_p_vs_chance
E3-C out-of-evidence druggability,Harmonic mean,0.9357,0.9307,0.9405,0.8725,5188,< 1e-300
E3-C out-of-evidence druggability,Logistic regression,1.0000,1.0000,1.0000,1.0000,5188,< 1e-300
E3-C out-of-evidence druggability,Elastic net,1.0000,1.0000,1.0000,1.0000,5188,< 1e-300
E3-C out-of-evidence druggability,Random forest,1.0000,1.0000,1.0000,1.0000,5188,< 1e-300
E4 CRC zero-shot transfer,Mutation frequency,0.4971,0.4884,0.5052,0.2185,4608,0.517
E4 CRC zero-shot transfer,Genetic constraint,0.5303,0.5218,0.5387,0.2237,4608,1.74e-10
E4 CRC zero-shot transfer,Cancer-driver annotation,0.5075,0.5051,0.5097,0.2272,4608,1.16e-16
E4 CRC zero-shot transfer,Druggability,0.5064,0.4991,0.5136,0.2318,4608,0.0787
E4 CRC zero-shot transfer,STRING centrality,0.7018,0.6933,0.7103,0.4075,4608,< 1e-300
E4 CRC zero-shot transfer,Arithmetic mean,0.5802,0.5718,0.5890,0.2543,4608,3.73e-62
E4 CRC zero-shot transfer,Rank aggregation,0.5340,0.5244,0.5432,0.2422,4608,1.69e-12
E4 CRC zero-shot transfer,Weighted rank aggregation,0.6380,0.6290,0.6465,0.3160,4608,2.78e-180
E4 CRC zero-shot transfer,ECS (multiplicative),0.4151,0.4062,0.4244,0.1800,4608,2e-69
E4 CRC zero-shot transfer,Harmonic mean,0.5760,0.5676,0.5847,0.2555,4608,4.84e-56
E4 CRC zero-shot transfer,Logistic regression,0.6828,0.6745,0.6908,0.3442,4608,< 1e-300
E4 CRC zero-shot transfer,Elastic net,0.6747,0.6666,0.6827,0.3318,4608,1.42e-287
E4 CRC zero-shot transfer,Random forest,0.7563,0.7484,0.7638,0.4985,4608,< 1e-300
E5 historical clinical-target concordance,Mutation frequency,0.7022,0.6153,0.7850,0.1150,35,7.09e-06
E5 historical clinical-target concordance,Genetic constraint,0.3888,0.3453,0.4331,0.0013,35,0.0206
E5 historical clinical-target concordance,Cancer-driver annotation,0.7374,0.6504,0.8193,0.0346,35,8.88e-149
E5 historical clinical-target concordance,Druggability,0.8082,0.7267,0.8816,0.0082,35,8.52e-17
E5 historical clinical-target concordance,STRING centrality,0.9861,0.9808,0.9910,0.1355,35,2.4e-23
E5 historical clinical-target concordance,Arithmetic mean,0.8943,0.8313,0.9464,0.1367,35,6.81e-16
E5 historical clinical-target concordance,Rank aggregation,0.8539,0.7837,0.9120,0.0176,35,4.28e-13
E5 historical clinical-target concordance,Weighted rank aggregation,0.9563,0.9208,0.9842,0.2344,35,9.27e-21
E5 historical clinical-target concordance,ECS (multiplicative),0.8245,0.7381,0.8941,0.0090,35,3.04e-11
E5 historical clinical-target concordance,Harmonic mean,0.9412,0.8976,0.9750,0.2068,35,1.66e-19
E5 historical clinical-target concordance,Logistic regression,0.9823,0.9681,0.9934,0.2906,35,5.31e-23
E5 historical clinical-target concordance,Elastic net,0.8993,0.8104,0.9700,0.1678,35,8.19e-17
E5 historical clinical-target concordance,Random forest,0.9418,0.8841,0.9907,0.2499,35,1.71e-44
E6 PDAC drug-response actionability,Mutation frequency,0.5666,0.4602,0.6714,0.0023,32,0.157
E6 PDAC drug-response actionability,Genetic constraint,0.3706,0.3087,0.4339,0.0011,32,0.00999
E6 PDAC drug-response actionability,Cancer-driver annotation,0.6349,0.5601,0.7149,0.0114,32,2.8e-45
E6 PDAC drug-response actionability,Druggability,0.7805,0.6805,0.8632,0.0069,32,4.4e-13
E6 PDAC drug-response actionability,STRING centrality,0.9103,0.8407,0.9617,0.0272,32,9.36e-16
E6 PDAC drug-response actionability,Arithmetic mean,0.7319,0.6247,0.8311,0.0515,32,5.61e-06
E6 PDAC drug-response actionability,Rank aggregation,0.7856,0.6909,0.8695,0.0127,32,2.24e-08
E6 PDAC drug-response actionability,Weighted rank aggregation,0.9058,0.8483,0.9564,0.1055,32,1.92e-15
E6 PDAC drug-response actionability,ECS (multiplicative),0.7048,0.6003,0.7959,0.0038,32,6.07e-05
E6 PDAC drug-response actionability,Harmonic mean,0.8456,0.7641,0.9164,0.0779,32,1.32e-11
E6 PDAC drug-response actionability,Logistic regression,0.9098,0.8442,0.9570,0.0212,32,1.03e-15
E6 PDAC drug-response actionability,Elastic net,0.4812,0.3868,0.5674,0.0015,32,0.675
E6 PDAC drug-response actionability,Random forest,0.9134,0.8536,0.9608,0.0170,32,5.61e-22
